number,value,datetime_start,datetime_complete,duration,params_Q10,params_SPAN,params_TDWI,params_TSUM1,params_TSUM2,state
1325,1227.0676230660729,2024-03-04 11:47:34.973523,2024-03-04 11:47:35.050096,0 days 00:00:00.076573,2.1233653488177953,32.43040824394308,0.5688371104247397,604.8944809927435,1455.3229740355616,COMPLETE
1326,80.29076618802148,2024-03-04 11:47:35.274121,2024-03-04 11:47:35.345643,0 days 00:00:00.071522,2.156824305121425,32.01071319016246,0.5955094989731364,533.4811490180982,1275.2055892575934,COMPLETE
1327,37.36167222597537,2024-03-04 11:47:35.552315,2024-03-04 11:47:35.623459,0 days 00:00:00.071144,2.1357881972672326,29.589583779907375,0.5526603193573306,540.4852054505915,1326.7807463981349,COMPLETE
1328,198.43239937656716,2024-03-04 11:47:35.811185,2024-03-04 11:47:35.865730,0 days 00:00:00.054545,1.9890824825537339,33.72335958161258,0.599735164528221,508.2857515550813,1359.8035518410072,COMPLETE
1329,2616.721444100448,2024-03-04 11:47:36.051373,2024-03-04 11:47:36.112592,0 days 00:00:00.061219,2.0088375086903296,29.375183612913705,0.5189019802194024,799.0999227634128,1316.1879890368111,COMPLETE
1330,1621.0902768672224,2024-03-04 11:47:36.322573,2024-03-04 11:47:36.381096,0 days 00:00:00.058523,2.0963833325835743,34.502319637664144,0.5789569161366811,651.2080221909315,1374.26049503197,COMPLETE
1331,48.92994908281286,2024-03-04 11:47:36.584780,2024-03-04 11:47:36.638825,0 days 00:00:00.054045,1.9618277634253372,32.96027151903219,0.5848879410711545,527.4387492868441,1343.984551962643,COMPLETE
1332,1016.1427690434646,2024-03-04 11:47:36.825686,2024-03-04 11:47:36.877562,0 days 00:00:00.051876,2.081290274974247,32.582043551022736,0.534558036690047,614.2412769332279,1333.608140893062,COMPLETE
1333,1319.5485809984914,2024-03-04 11:47:37.061504,2024-03-04 11:47:37.114793,0 days 00:00:00.053289,2.187266160473558,36.594264633292084,0.5650861528573154,619.5122691669008,1388.5436489129404,COMPLETE
1334,142.36803717555037,2024-03-04 11:47:37.306469,2024-03-04 11:47:37.358866,0 days 00:00:00.052397,2.1197328467377003,33.24832451722891,0.493268712114453,548.5023752039739,1350.6157906847864,COMPLETE
1335,2308.4159555492374,2024-03-04 11:47:37.549065,2024-03-04 11:47:37.617577,0 days 00:00:00.068512,1.9442583885161142,30.707413181327194,0.5717704520395942,746.6515538737394,1321.636710299245,COMPLETE
1336,2094.9465318664757,2024-03-04 11:47:37.824463,2024-03-04 11:47:37.879987,0 days 00:00:00.055524,2.174173274791095,33.499117261054266,0.5050508797972955,721.9699159967154,1308.6391793746136,COMPLETE
1337,334.8686943101904,2024-03-04 11:47:38.064615,2024-03-04 11:47:38.117757,0 days 00:00:00.053142,2.0442804950043385,32.2409447279572,0.5572088303519686,558.5807506580109,1339.2073701143722,COMPLETE
1338,447.48248108378044,2024-03-04 11:47:38.306772,2024-03-04 11:47:38.360906,0 days 00:00:00.054134,1.9829492123094863,30.764157813436114,0.4784620907948416,518.8809763376886,1332.1258655211068,COMPLETE
1339,130.4954483769197,2024-03-04 11:47:38.544779,2024-03-04 11:47:38.597360,0 days 00:00:00.052581,2.06768292139496,33.85867717719903,0.5898244791260313,532.7857099266058,1357.2222788740796,COMPLETE
1340,70.21994088426989,2024-03-04 11:47:38.781525,2024-03-04 11:47:38.835323,0 days 00:00:00.053798,2.0911941835205408,35.166966025956214,0.4515601450326273,539.3236348416315,1346.5358695565055,COMPLETE
1341,1916.2070360424282,2024-03-04 11:47:39.025610,2024-03-04 11:47:39.079027,0 days 00:00:00.053417,2.1943260693634157,30.259717261418185,0.5751924390885174,706.3909162389509,1299.0059586680109,COMPLETE
1342,224.40337670123262,2024-03-04 11:47:39.261431,2024-03-04 11:47:39.313484,0 days 00:00:00.052053,1.8058212939549894,33.105783442921435,0.5692461327134228,526.9689063086627,1327.4015341804113,COMPLETE
1343,2599.5698051688887,2024-03-04 11:47:39.524409,2024-03-04 11:47:39.579226,0 days 00:00:00.054817,1.9710023590334862,28.03005063357959,0.5617032001891307,779.7977614513964,1365.0433876320603,COMPLETE
1344,102.63457681724213,2024-03-04 11:47:39.781846,2024-03-04 11:47:39.843380,0 days 00:00:00.061534,2.021591914882712,34.672790027696685,0.5880181233133784,533.7937041733524,1340.3378698349852,COMPLETE
1345,1567.3075858121063,2024-03-04 11:47:40.030462,2024-03-04 11:47:40.088009,0 days 00:00:00.057547,2.1496166925222977,32.779763340184175,0.47225392802952093,658.2446616466954,1428.777278144345,COMPLETE
1346,67.49092071927159,2024-03-04 11:47:40.287012,2024-03-04 11:47:40.339711,0 days 00:00:00.052699,2.0350020120246466,29.80209367137026,0.5106696581032478,513.3926396649651,1570.0530169830017,COMPLETE
1347,566.4774764128858,2024-03-04 11:47:40.530524,2024-03-04 11:47:40.582390,0 days 00:00:00.051866,2.05295909307548,33.37664383400047,0.45448244368077007,585.4188730107338,1376.3558891035073,COMPLETE
